"ROU","Romania"
"PRT","Portugal"
"IRL","Ireland"
"BEL","Belgium"
"HRV","Croatia"
"GRC","Greece"
"CZE","Czech Republic"
"SVN","Slovenia"
"DEU","Germany"
"ESP","Spain"
"LTU","Lithuania"
"FIN","Finland"
"LUX","Luxembourg"
"HUN","Hungary"
"EST","Estonia"
"AUT","Austria"
"DNK","Denmark"
"CYP","Cyprus"
"ITA","Italy"
"BGR","Bulgaria"
"MLT","Malta"
"FRA","France"
"LVA","Latvia"
"SVK","Slovak Republic"
"SWE","Sweden"
"POL","Poland"
"NLD","Netherlands"
"ROU","Romania"
"PRT","Portugal"
"IRL","Ireland"
"BEL","Belgium"
"HRV","Croatia"
"GRC","Greece"
"CZE","Czech Republic"
"SVN","Slovenia"
"DEU","Germany"
"ESP","Spain"
"LTU","Lithuania"
"FIN","Finland"
"LUX","Luxembourg"
"HUN","Hungary"
"EST","Estonia"
"AUT","Austria"
"DNK","Denmark"
"CYP","Cyprus"
"ITA","Italy"
"BGR","Bulgaria"
"MLT","Malta"
"FRA","France"
"LVA","Latvia"
"SVK","Slovak Republic"
"SWE","Sweden"
"POL","Poland"
"NLD","Netherlands"
